date, pnl, longsize, shortsize, ret, holdpnl, tradepnl, poscov, negcov, pospnl, negpnl, IC, index_ret,rankpnl1, rankpnl2, rankpnl3, rankpnl4, rankpnl5, rankpnl6, rankpnl7, rankpnl8, rankpnl9, rankpnl10
20210305,-75356.22,10000000.0,-10000000.0,-0.003768,62197.28073147982,-137299.9204333682,985,3057,-26304.13,-47124.99,0.034444,3501.9867,0.007932,2.848851,3.199494,2.283816,2.918868,3.762947,3.109822,5.697357,4.92204,4.761298
20210308,107213.82,10000000.0,-10000000.0,0.005361,144600.29356387345,-37168.21162940413,986,3057,11793.5,91194.18,0.068443,3421.4141,-6.898543,-5.2949,-5.437548,-6.632603,-6.260245,-5.002707,-3.382602,-4.116357,-2.093697,-2.146343
20210309,224631.13,10000000.0,-10000000.0,0.011232,8032.694208689063,216865.50869642667,991,3053,47376.43,173614.56,0.001296,3359.292,-7.239534,-10.342108,-10.294508,-12.027048,-11.57329,-11.78222,-10.639539,-10.483157,-8.625125,-8.323711
20210310,102489.66,10000000.0,-10000000.0,0.005124,-61141.16527263015,163902.90088601498,1000,3046,33985.49,66227.37,-0.034471,3357.7372,-3.104867,-2.186902,-3.88527,-2.862456,-4.907048,-5.237126,-5.380723,-6.158195,-5.647477,-6.649338
20210311,-194835.81,10000000.0,-10000000.0,-0.009742,-22714.6868499065,-171901.20714210666,998,3050,-41294.5,-133293.34,-0.003765,3436.8313,8.994618,8.070178,7.524592,8.581424,8.509352,7.429004,8.302485,7.792694,7.019465,7.632008
20210312,-10932.31,10000000.0,-10000000.0,-0.000547,9536.468973543871,-20180.404088215793,997,3052,-3237.78,-7342.79,0.005366,3453.0777,1.564438,0.939603,1.270824,0.168715,-0.038967,-0.286621,-0.144524,0.505707,0.273402,0.460969
20210315,25569.6,10000000.0,-10000000.0,0.001278,90135.77123509302,-64337.653606213484,995,3055,-4657.05,25770.96,0.050708,3419.9456,-1.744868,-1.381678,-2.58253,-3.427381,-1.596701,-1.303786,0.41609,-0.392224,0.420617,1.818205
20210316,-120758.33,10000000.0,-10000000.0,-0.006038,51847.36563341479,-172378.42423614804,995,3054,-37856.88,-78658.4,0.031699,3446.7334,2.885044,4.136803,4.080938,4.734464,5.410864,5.368842,5.634371,6.872551,6.927908,7.204996
20210317,-60727.3,10000000.0,-10000000.0,-0.003036,-8418.37900536733,-52065.99830080841,1000,3052,-8624.93,-41038.41,-0.001941,3445.5509,3.006625,2.684966,3.332109,2.490429,1.605626,3.283177,1.959542,1.373296,1.548278,1.349176
20210318,-21683.76,10000000.0,-10000000.0,-0.001084,3877.2632712262803,-25018.98954700621,1004,3049,552.67,-12010.59,0.00158,3463.0681,1.736046,0.922026,0.316933,1.483239,0.019109,-0.071052,0.369992,0.848412,-0.178402,-0.447119
20210319,18241.24,10000000.0,-10000000.0,0.000912,22838.172942521087,-4329.5357941798065,1007,3047,-2200.96,24104.48,0.010422,3404.6634,-3.256393,-2.379366,-2.556898,-2.228881,-0.199638,-0.233532,-0.169416,0.45404,0.546724,-0.130326
20210322,-160917.37,10000000.0,-10000000.0,-0.008046,5784.05115681576,-166478.3744831233,1011,3043,-37212.66,-109802.4,0.001896,3443.4392,5.676212,6.657092,7.484139,6.417693,6.489659,6.519994,6.907286,7.731242,6.941023,6.402458
20210323,96043.64,10000000.0,-10000000.0,0.004802,-40643.220677591875,136936.20741447143,1012,3048,24053.15,72771.86,-0.01415,3411.5088,-6.107335,-4.906557,-4.055431,-3.633498,-3.089539,-4.34353,-5.105547,-3.885353,-4.716148,-4.614502
